"2001:500:8c::", "2001:500:98:ffff:ffff:ffff:ffff:ffff", "42540589574193110633648524246015541248", "42540589574208826669303514425286721535", "US", "United States"
"2001:500:3e5::", "2001:500:3e5:ffff:ffff:ffff:ffff:ffff", "42540589575229160061058261448738734080", "42540589575230368986877876077913440255", "US", "United States"
"2001:500:30ff::", "2001:500:30ff:ffff:ffff:ffff:ffff:ffff", "42540589589187417574328769899896242176", "42540589589188626500148384529070948351", "US", "United States"
"2001:500:4431::", "2001:500:4431:ffff:ffff:ffff:ffff:ffff", "42540589595128079051915057664402391040", "42540589595129287977734672293577097215", "US", "United States"
"2001:500:7967::", "2001:500:7967:ffff:ffff:ffff:ffff:ffff", "42540589611596066566705536282249920512", "42540589611597275492525150911424626687", "US", "United States"
"2001:500:856e::", "2001:500:856e:ffff:ffff:ffff:ffff:ffff", "42540589615318349165298979511170236416", "42540589615319558091118594140344942591", "US", "United States"
"2001:500:d937::", "2001:500:d937:ffff:ffff:ffff:ffff:ffff", "42540589641248599070213160679443005440", "42540589641249807996032775308617711615", "US", "United States"
"2001:500:ed30::", "2001:500:ed30:ffff:ffff:ffff:ffff:ffff", "42540589647429836785902759649715683328", "42540589647431045711722374278890389503", "US", "United States"
"2001:501:8a29::", "2001:501:8a29:ffff:ffff:ffff:ffff:ffff", "42540589696010520847116633035283365888", "42540589696011729772936247664458072063", "US", "United States"
"2001:501:b1f9::", "2001:501:b1f9:ffff:ffff:ffff:ffff:ffff", "42540589708331892800628933583888711680", "42540589708333101726448548213063417855", "US", "United States"
"2001:502:8cc::", "2001:502:8cc:ffff:ffff:ffff:ffff:ffff", "42540589735202686993203296250082885632", "42540589735203895919022910879257591807", "US", "United States"
"2001:502:100e::", "2001:502:100e:ffff:ffff:ffff:ffff:ffff", "42540589737448871166047277256686960640", "42540589737450080091866891885861666815", "US", "United States"
"2001:502:1ca1::", "2001:502:1ca1:ffff:ffff:ffff:ffff:ffff", "42540589741340403379386768570066141184", "42540589741341612305206383199240847359", "US", "United States"
"2001:502:2eda::", "2001:502:2eda:ffff:ffff:ffff:ffff:ffff", "42540589746980042327889013670070452224", "42540589746981251253708628299245158399", "US", "United States"
"2001:502:4612::", "2001:502:4612:ffff:ffff:ffff:ffff:ffff", "42540589754165897399678369484523962368", "42540589754167106325497984113698668543", "US", "United States"
"2001:502:7094::", "2001:502:7094:ffff:ffff:ffff:ffff:ffff", "42540589767321428168724764163676569600", "42540589767322637094544378792851275775", "US", "United States"
"2001:502:7a71::", "2001:502:7a71:ffff:ffff:ffff:ffff:ffff", "42540589770373965863251702829809664000", "42540589770375174789071317458984370175", "US", "United States"
"2001:502:8c25::", "2001:502:8c25:ffff:ffff:ffff:ffff:ffff", "42540589775852817677745202249578053632", "42540589775854026603564816878752759807", "US", "United States"
"2001:502:ad09::", "2001:502:ad09:ffff:ffff:ffff:ffff:ffff", "42540589786031973078900379900604055552", "42540589786033182004719994529778761727", "US", "United States"
"2001:502:be98::", "2001:502:be98:ffff:ffff:ffff:ffff:ffff", "42540589791466094638068138040908316672", "42540589791467303563887752670083022847", "US", "United States"
"2001:502:cbe4::", "2001:502:cbe4:ffff:ffff:ffff:ffff:ffff", "42540589795581278128036335751608139776", "42540589795582487053855950380782845951", "US", "United States"
"2001:502:cfb5::", "2001:502:cfb5:ffff:ffff:ffff:ffff:ffff", "42540589796762398653799828455296073728", "42540589796763607579619443084470779903", "US", "United States"
"2001:502:d399::", "2001:502:d399:ffff:ffff:ffff:ffff:ffff", "42540589797966488770135999113303425024", "42540589797967697695955613742478131199", "US", "United States"
"2001:502:f3ff::", "2001:502:f3ff:ffff:ffff:ffff:ffff:ffff", "42540589807993319518019733488316448768", "42540589807994528443839348117491154943", "US", "United States"
"2001:503:c27::", "2001:503:c27:ffff:ffff:ffff:ffff:ffff", "42540589815469316786516600304699441152", "42540589815470525712336214933874147327", "US", "United States"
"2001:503:d2d::", "2001:503:d2d:ffff:ffff:ffff:ffff:ffff", "42540589815786055351255633148472459264", "42540589815787264277075247777647165439", "US", "United States"
"2001:503:231d::", "2001:503:231d:ffff:ffff:ffff:ffff:ffff", "42540589822575382754211390593622343680", "42540589822576591680031005222797049855", "US", "United States"
"2001:503:3227::", "2001:503:3227:ffff:ffff:ffff:ffff:ffff", "42540589827229747159727712916241121280", "42540589827230956085547327545415827455", "US", "United States"
"2001:503:39c1::", "2001:503:39c1:ffff:ffff:ffff:ffff:ffff", "42540589829582316804697781290219339776", "42540589829583525730517395919394045951", "US", "United States"
"2001:503:4872::", "2001:503:4872:ffff:ffff:ffff:ffff:ffff", "42540589834129086812268401616289267712", "42540589834130295738088016245463973887", "US", "United States"
"2001:503:5419::", "2001:503:5419:ffff:ffff:ffff:ffff:ffff", "42540589837735312532178840444437790720", "42540589837736521457998455073612496895", "US", "United States"
